0,"Limbo","This room has no entrances or exits and is not connected to any other rooms. The only way to get here is teleportation. Consider it a GM/GOD/IMM/IMP area. Alternatively, it could be used a prison for players.",0,0,0,0,0,0,0
1,"Room Title","Every tale must begin somewhere, but not necessarily at the beginning. This adventure begins in the middle and with... Room descriptions: This is where you inform players of what they are able to see, hear, smell, touch, taste, feel, and sense. Room descriptions should explicitly inform the player of every obvious thing he should know about the envirionment and hint at anything not so obvious, such as hidden doors to secret passages, levers, or other mechanisms the player may need to manipulate. Check out the other rooms for examples. Simply type “n” to move north then hit the enter key. Players are allowed to move in the directions of north, east, west, south, up, and down, if there is an exit in that direction. Of course, closed doors will need to be opened and locked doors will need to be unlocked or the lock picked.",2,0,0,0,0,0,1
2,"Lofty Mountain Forrest","You pause near the southern edge of a mountain forest. Far above your head, towering evergreens sway in the soft summer breeze. Occasionally, their branches part allowing the clear deep-blue sky to peer through.",3,0,0,1,0,0,0
3,"An Ancient Path","The path you seem to be following is ancient. It has been worn smooth and wide. Off to both sides of the path lie miles of cedar, cypress, fir, juniper, and pine. Their massive maroon-barked trunks are rooted in eternity and stretch skyward. At their bases, clumps of bright green mosses and ferns carpet the forest floor. The cries of birds echo and ring throughout this ancient wooded mountainside. You feel as though you could lie down and stay here forever surrounded by power and beauty in all directions.",4,0,0,2,0,0,0
4,"Along The Path","Continuing to move slowly along the path, you travel further and further into the heart of this timeless wooded tract. Here you can smell, almost taste, the rich and enchanted forest air. With an increasing sense of the potential energy that permeates this special place, you decide to move on.",5,0,0,3,0,0,0
5,"Along The Path","Occasionally now, weathered stone sculptured pagodas appear along the edge of this path. Tall and wind worn, their ridges and rooftops are covered with a brilliant green moss of the ages. To the north, far in the distance, you can make out what appears to be the edge of this forest.",6,0,0,4,0,0,0
6,"An Ancient Path","The path you seem to be following is ancient. It has been worn smooth and wide. Off to both sides of the path lie miles of cedar, cypress, fir, juniper, and pine. Their massive maroon-barked trunks are rooted in eternity and stretch skyward. At their bases, clumps of bright green mosses and ferns carpet the forest floor. The cries of birds echo and ring throughout this ancient wooded mountainside. You feel as though you could lie down and stay here forever surrounded by power and beauty in all directions.",7,0,0,5,0,0,0
7,"Lofty Mountain Forrest","You linger near the northern edge of a dense mountain forest. Far above your head, towering evergreens sway in the light summer breeze. Occasionally, their branches part allowing the clear deep-blue sky to peer through.",8,0,0,6,0,0,0
8,"The Great Field","You hesitate near the edge of a great field. Thick green grass surrounds you. Warm sunlight massages your body. A soft summer breeze caresses your face ever-so-gently. Birds chirp quietly to themselves. You notice the delicate fragrance of seasonal flowers and freshly cut grass. A well-worn earthen path cuts directly through the center of the landscape from north to south.",9,0,0,7,0,0,0
9,"Shaolin Temple Entrance","The ground here is paved with magnificent gray granite tiles. To the north, a giant Pai Fang, or symbolic gateway, marks the beginning of the temple grounds. It is a pillared gate with a multi-tiered roof of green tile and displays a large plaque indicating you have arrived at the famous Shaolin Temple. Beyond this gateway is the Ji Long Bi, or Nine Dragon Wall, an aesthetic feature announcing the high-status of this temple and indicates imperial sponsorship. Further to the north are two large white marble pedestals, which stand about three feet tall. Atop the pedestals, fierce looking gray marble lions stand watch, protecting the temple gate. Between the ferocious Lion Guardians are white marble steps, which lead up to the outter gatehouse of the Shaolin Temple. The outter gatehouse is a large building of red brick with a dark green tiled roof and a set of large black iron double doors.",10,0,0,8,0,0,0
10,"Atop The Steps","Atop the steps to this outer gatehouse on the northern edge of the temple entrance, you notice those massive iron doors are open and inviting you to enter. Above the arched doorway hangs a large black plaque with gold edging. Upon the plaque, written in gold, are the words: 嵩 山 门",11,0,0,9,0,0,0
11,"Lofty Mountain Gate","You amble through the great arched doorway into this outer gatehouse. Two grimacing temple guardians, Miji Jingang and Naluoyan Jingang, stand watch in this otherwise empty room of red brick.",12,0,0,10,0,0,0
12,"Outer Courtyard","This outter courtyard, as the temple itself, runs north to south. The ground has been paved with marvelous green streaked gray marble tiles. A bilateral row of cypress trees have been planted here. They, too, run north to south. Somehow, you know they are extremely old and have been growing here a long time. At the north end of the trees are two large white marble pedestals, which stand about three feet tall. Atop the pedestals, fierce looking gray marble lions stand watch, protecting the temple gate. Between the ferocious Lion Guardians are white marble steps, which lead up to the inner gatehouse of the Shaolin Temple. The inner gatehouse is a large building of red brick with a dark green tiled roof and a set of large black iron double doors. To the east and west, red brick walls isolate this courtyard from other areas of the temple complex.",13,0,0,11,0,0,0
13,"Atop The Steps","Atop the steps to this inner gatehouse on the northern edge of the inner courtyard, you notice those monsterous black iron double doors. Above the doors hangs a large black plaque with gold edging. Upon the plaque, written in gold, are the words: 少 林 寺",14,0,0,12,0,0,0
14,"Inner Gatehouse","You amble through the great arched doorway into this outer gatehouse. Two grimacing temple guardians, Miji Jingang and Naluoyan Jingang, stand watch in this otherwise empty room of red brick.",15,0,0,13,0,0,0
15,"Inner Courtyard","This inner courtyard runs east to west. The ground is paved with magnificent green streaked gray marble tiles. Off to east and west are exquisite gardens.",30,16,23,14,0,0,0
16,"Bamboo Garden","Here grows a lush green garden. In the center, there is a life-size green jade statue of Bodhidharma. You notice many plants, flowers, and bamboo trees growing here. The sights, sounds, and aroma of this place flood your senses. Suddenly, you are overcome by a peaceful, easy, feeling. Further to the east, you can make out a towering red-brick structure with a green tiled roof. ",31,20,15,17,0,0,0
17,"Heavenly Protection Gate","Before you two heavy black iron doors are open to reveal an arched passageway through a masive red brick wall. On the wall above the passageway, hangs a large black plaque with gold edging. Written upon the plaque are these gold Chinese ideograms: 天 上 保 卫 门",16,0,0,18,0,0,0
18,"Court of Heavenly Pefection","This impressively expansive courtyard is paved with gray bricks that have been worn smooth by the constant friction caused from the incessant practice of elite Temple Protection Monks. Due to this perpetual noise and activity, martial monks have been relegated to training areas at this southern end of the temple grounds, thus isolating them from the many non-martial monks in the northern section of the temple complex. Additionally, quartering fighting monks near the sole entrance to this great walled temple fortress is strategically wise.",17,0,0,19,0,0,0
19,"Martial Monks Quarters","The interior of this dormitory structure is quite sparse. The space functions as a resting place for sleeping martial monks and nothing more. There is not much of interest here.",18,0,0,0,0,0,0
20,"Before The Bell Tower","Before you stands the famous Bell Tower of Shaolin Temple. The tower is built of red brick with a dark green tiled roof. This structure must be over forty feet tall. It has been said, the bell can be heard for distances of over thirty miles! To the lower left of the tower is the stone of Li Shimin. Upon the stone tablet is written a note of gratitude and a decree to the Shaolin Temple monks, which enables them to consume a non-traditional Buddhist monk diet and train warrior monks.",0,21,16,0,0,0,0
21,"Inside The Bell Tower","Pausing ever so slightly inside the Bell Tower, you note there is not much to see here, only a large empty room of red brick with wooden stairs leading to the top of the tower.",0,0,20,0,22,0,0
22,"Atop The Bell Tower","An impressively massive bronze bell hangs here silently. The panoramic view of Song Shan is  breathtaking. From this vantage point it is easy to view the great field to the south of the temple. Further in the distance is the mountain forest. Off to the east is a small village. To the west is the Drum Tower and beyond that lies the famous pagoda forrest. To the northwest sprawls the massive temple grounds.",0,0,0,0,0,21,0
23,"Bamboo Garden","Here grows a lush green garden. In the center, there is a life-size green jade statue of Bodhidharma. You notice many plants, flowers, and bamboo trees growing here. The sights, sounds, and aroma of this place flood your senses. Suddenly, you are overcome by a peaceful, easy, feeling. Further to the west, you can make out a tall red-brick tower with a green tiled roof.",32,15,27,24,0,0,0
24,"Heavenly Protection Gate","Before you two heavy black iron doors are open to reveal an arched passageway through a masive red brick wall. On the wall above the passageway, hangs a large black plaque with gold edging. Written upon the plaque are these gold Chinese ideograms: 天 上 保 卫 门",23,0,0,25,0,0,0
25,"Court of Heavenly Pefection","This impressively expansive courtyard is paved with gray bricks that have been worn smooth by the constant friction caused from the incessant practice of elite Temple Protection Monks. Due to this perpetual noise and activity, the martial monks have been relegated to training areas at this southern end of the temple grounds, thus isolating them from the many non-martial monks in the northern section of the temple complex. Additionally, quartering fighting monks near the sole entrance to this great walled temple fortress is strategically wise.",24,0,0,26,0,0,0
26,"Martial Monks Quarters","The interior of this dormitory structure is quite sparse. The space functions as a resting place for sleeping martial monks and nothing more. There is not much of interest here.",25,0,0,0,0,0,0
27,"Before The Drum Tower","Before you stands the famous Drum Tower of Shaolin Temple. The tower is built of red brick with a dark green tiled roof and must be over forty feet tall. It has been said, that the drum can be heard for distances of over thirty miles!",0,24,28,0,0,0,0
28,"Inside The Drum Tower","Pausing ever so slightly inside the Drum Tower, you note there is not much to see here, only a large empty room of red brick with wooden stairs leading to the top of the tower.",0,27,0,0,29,0,0
29,"Atop The Drum Tower","An impressively massive drum rests here silently. The panoramic view of Song Shan is breathtaking. From this vantage point it is easy to view the great field to the south of the temple. Further in the distance is the mountain forest. Off to the east is is the Bell Tower and beyond that lies a small village. To the west you notice the famous pagoda forrest. To the northeast sprawls the massive temple grounds.",0,0,0,0,0,28,0
30,"Heavenly Kings Court",,33,31,32,15,0,0,0
31,"East Path of Enlightenment","You perambulate upon a wide pathway paved with quaint cobblestones. It runs along this section of the temple complex to the north and south. It is bordered on the east by the massive outter wall which fortifies the temple grounds. ",34,0,30,16,0,0,0
32,"West Path of Enlightenment","You perambulate upon a wide pathway paved with quaint cobblestones. It runs along this section of the temple complex to the north and south. It is bordered on the west by the massive outter wall which fortifies the temple grounds. ",35,30,0,23,0,0,0
33,"Heavenly Kings Hall",,0,34,35,30,0,0,0
34,"East Path of Enlightenment","You perambulate upon a wide pathway paved with quaint cobblestones. It runs along this section of the temple complex to the north and south. It is bordered on the east by the massive outter wall which fortifies the temple grounds. ",37,0,33,31,0,0,0
35,"West Path of Enlightenment","You perambulate upon a wide pathway paved with quaint cobblestones. It runs along this section of the temple complex to the north and south. It is bordered on the west by the massive outter wall which fortifies the temple grounds. ",38,33,0,32,0,0,0
36,"Great Hero Courtyard",,39,37,38,0,0,0,0
37,"East Path of Enlightenment","You perambulate upon a wide pathway paved with quaint cobblestones. It runs along this section of the temple complex to the north and south. It is bordered on the east by the massive outter wall which fortifies the temple grounds. ",40,0,36,34,0,0,0
38,"West Path of Enlightenment","You perambulate upon a wide pathway paved with quaint cobblestones. It runs along this section of the temple complex to the north and south. It is bordered on the west by the massive outter wall which fortifies the temple grounds. ",41,36,0,35,0,0,0
39,"Great Hero Treaure Hall",,0,40,41,36,0,0,0
40,"East Path of Enlightenment","You perambulate upon a wide pathway paved with quaint cobblestones. It runs along this section of the temple complex to the south. It is bordered on the east by the massive outter wall which fortifies the temple grounds. ",0,0,0,0,0,0,0
41,"West Path of Enlightenment","You perambulate upon a wide pathway paved with quaint cobblestones. It runs along this section of the temple complex to the south. It is bordered on the west by the massive outter wall which fortifies the temple grounds. ",0,0,0,0,0,0,0
42,"East Meditation Garden",,,,,,,,
43,"West Meditation Garden",,,,,,,,
44,"Court of Celestial Purification",,0,0,0,0,0,0,0
45,"Kitchen","e",0,0,0,0,0,0,0
46,"Great Library of Shaolin","w",0,0,0,0,0,0,0
47,"Hidden Archives",,0,0,0,0,0,0,0
48,"Middle Path of Perpetual Harmony","You travel upon a wide walkway paved with quaint cobblestones. It runs through the center of the temple grounds toward the north.",0,0,0,0,0,0,0
49,"Wen Shu Hall","e",0,0,0,0,0,0,0
50,"Guan Yin Hall","w",0,0,0,0,0,0,0
51,"Garden of Celestial Perfection","n",0,0,0,0,0,0,0
52,"Middle Path of Perpetual Harmony","You travel upon a wide walkway paved with quaint cobblestones. It runs through the center of the temple grounds toward the north and south.",0,0,0,0,0,0,0
53,"Monks Residence","e",0,0,0,0,0,0,0
54,"Monks Residence","w",0,0,0,0,0,0,0
55,"Middle Path of Perpetual Harmony","You travel upon a wide walkway paved with quaint cobblestones. It runs through the center of the temple grounds toward the north and south.",0,0,0,0,0,0,0
56,"A Private Court",,0,0,0,0,0,0,0
57,"'Master''s Residence'","e",0,0,0,0,0,0,0
58,"'Master''s Residence'","w",0,0,0,0,0,0,0
59,"'Master''s Garden'","e",0,0,0,0,0,0,0
60,"'Master''s Garden'","w",0,0,0,0,0,0,0
61,"Middle Path of Perpetual Harmony","You travel upon a wide walkway paved with quaint cobblestones. It runs through the center of the temple grounds toward the north and south.",0,0,0,0,0,0,0
62,"'Abbot''s Court'",,0,0,0,0,0,0,0
63,"Guest Quarters","e",0,0,0,0,0,0,0
64,"Guest Quarters","w",0,0,0,0,0,0,0
65,"Middle Path of Perpetual Harmony","You travel upon a wide walkway paved with quaint cobblestones. It runs through the center of the temple grounds toward the north and south.",0,0,0,0,0,0,0
66,"'Abbot''s Residence'",,0,0,0,0,0,0,0
67,"'Abbot''s Garden'",,0,0,0,0,0,0,0
68,"Middle Path of Perpetual Harmony","You travel upon a wide walkway paved with quaint cobblestones. It runs through the center of the temple grounds toward the south.",0,0,0,0,0,0,0
69,"Di Zang Hall","w",0,0,0,0,0,0,0
70,"Li Xue Hall","e",0,0,0,0,0,0,0
71,"Before Thousand Buddha Hall","You are standing in a large, open, courtyard. Off to both sides of the courtyard you see a wide paved walkway here. To the north, you see a large building of red brick with a dark green tiled roof and a set of large, black, double doors. You notice the large double doors are open inviting you to walk in. Above the door there is a large, black, plaque with gold edging. Written upon the plaque are large, gold, Chinese characters: Shi Qian Fo Guan.",0,0,0,0,0,0,0
72,"Thousand Buddha Hall","Here is where the Shaolin Monks train in Gongfu. This is one of the oldest and most sacred buildings on the premises. You notice depressions in the stone floor, caused by many years of training in the same place. There are ten thousand statues of Buddha lining the upper walls, seemingly watching over the monks while they perfect their skills.",0,0,0,0,0,0,0
73,"Secret","'You are standing in a very dark underground room. The air is cold here. The walls, floor, and ceiling are made of a thick rough surfaced stone. The silence is deafening. There is absolutely no sound in this room. You can''t even hear the sound of your own breathing. You begin to wonder if coming down here was a wise decision. It might be better to back the way you came.'",0,0,0,0,0,0,0
74,"108 Wooden Man Hall","You are standing before the huge, iron gate to the infamous 108 Wooden Man Hall. Above the gate is a WARNING. It might be wise to pause a moment to read what it says!",0,0,0,0,0,0,0
